Source,Target,Type,Id,Label,timeset,Weight
115380398553479,86973707921,Directed,15130,,,1
115380398553479,70070202017,Directed,15131,,,1
115380398553479,367380153356898,Directed,15132,,,1
115380398553479,245067799016105,Directed,15133,,,1
115380398553479,381404171885894,Directed,15134,,,1
115380398553479,584067141713984,Directed,15135,,,1
115380398553479,274621445992551,Directed,15136,,,1
115380398553479,1458210551095571,Directed,15137,,,1
115380398553479,209558925886026,Directed,15138,,,1
115380398553479,138782929477660,Directed,15139,,,1
115380398553479,206339142742198,Directed,15140,,,1
115380398553479,267225436727246,Directed,15141,,,1
115380398553479,253083638059595,Directed,15142,,,1
115380398553479,739809639387263,Directed,15143,,,1
115380398553479,277884142413416,Directed,15144,,,1
115380398553479,419691654741839,Directed,15145,,,1
115380398553479,681147458563418,Directed,15146,,,1
115380398553479,515552898456515,Directed,15147,,,1
115380398553479,300520616800817,Directed,15148,,,1
115380398553479,150831924981490,Directed,15149,,,1
115380398553479,113287962097702,Directed,15150,,,1
115380398553479,229786170410532,Directed,15151,,,1
115380398553479,396238617060911,Directed,15152,,,1
115380398553479,174565392641564,Directed,15153,,,1
115380398553479,1410081172574117,Directed,15154,,,1
115380398553479,443040872436725,Directed,15155,,,1
115380398553479,254601907996756,Directed,15156,,,1
115380398553479,257964247721694,Directed,15157,,,1
115380398553479,205871529547556,Directed,15158,,,1
115380398553479,705774632792376,Directed,15159,,,1
115380398553479,333577596740941,Directed,15160,,,1
115380398553479,214884518710996,Directed,15161,,,1
115380398553479,124177214310102,Directed,15162,,,1
115380398553479,272593099542874,Directed,15163,,,1
115380398553479,201013883296353,Directed,15164,,,1
115380398553479,168553733225405,Directed,15165,,,1
115380398553479,334081010000014,Directed,15166,,,1
115380398553479,421345394551786,Directed,15167,,,1
115380398553479,137335179772510,Directed,15168,,,1
115380398553479,116843165061940,Directed,15169,,,1
115380398553479,176138972544043,Directed,15170,,,1
115380398553479,149895018399168,Directed,15171,,,1
115380398553479,280069688709100,Directed,15172,,,1
115380398553479,130606513707139,Directed,15173,,,1
115380398553479,157293541026960,Directed,15174,,,1
115380398553479,186702725623,Directed,15175,,,1
115380398553479,356883069268,Directed,15176,,,1
115380398553479,115987058416365,Directed,15177,,,1
115380398553479,755299424480552,Directed,15178,,,1
115380398553479,239379369601274,Directed,15179,,,1
115380398553479,556427754387527,Directed,15180,,,1
115380398553479,213556958786785,Directed,15181,,,1
115380398553479,249695578379466,Directed,15182,,,1
115380398553479,197053963655945,Directed,15183,,,1
115380398553479,482923291818200,Directed,15184,,,1
115380398553479,152221058137043,Directed,15185,,,1
115380398553479,207988796020213,Directed,15186,,,1
115380398553479,492058860844899,Directed,15187,,,1
115380398553479,121827081309406,Directed,15188,,,1
115380398553479,476903082431210,Directed,15189,,,1
115380398553479,484321724998881,Directed,15190,,,1
115380398553479,319861741410000,Directed,15191,,,1
115380398553479,416391328422034,Directed,15192,,,1
115380398553479,157220200987456,Directed,15193,,,1
115380398553479,1454185511475969,Directed,15194,,,1
115380398553479,318320208247203,Directed,15195,,,1
115380398553479,208855559186579,Directed,15196,,,1
115380398553479,177931729055498,Directed,15197,,,1
115380398553479,183948728325863,Directed,15198,,,1
115380398553479,164661903600594,Directed,15199,,,1
115380398553479,340328702724028,Directed,15200,,,1
115380398553479,168560136513443,Directed,15201,,,1
115380398553479,530325967023575,Directed,15202,,,1
115380398553479,235263107772,Directed,15203,,,1
115380398553479,255892494433378,Directed,15204,,,1
115380398553479,214522925264497,Directed,15205,,,1
115380398553479,1665300123703523,Directed,15206,,,1
115380398553479,106505379390262,Directed,15207,,,1
115380398553479,244394105708358,Directed,15208,,,1
115380398553479,130019137016721,Directed,15209,,,1
115380398553479,547809088612315,Directed,15210,,,1
115380398553479,312194878914454,Directed,15211,,,1
115380398553479,523016277762061,Directed,15212,,,1
115380398553479,224786464339448,Directed,15213,,,1
115380398553479,181549021899951,Directed,15214,,,1
115380398553479,153852684678269,Directed,15215,,,1
115380398553479,389746007804832,Directed,15216,,,1
115380398553479,101036196646365,Directed,15217,,,1
115380398553479,470173826428126,Directed,15218,,,1
115380398553479,150751645046382,Directed,15219,,,1
115380398553479,107309305972248,Directed,15220,,,1
115380398553479,367152833370567,Directed,15221,,,1
115380398553479,137114316481439,Directed,15222,,,1
115380398553479,431981126918674,Directed,15223,,,1
115380398553479,161758410553702,Directed,15224,,,1
115380398553479,221770444519274,Directed,15225,,,1
115380398553479,155269201333632,Directed,15226,,,1
115380398553479,103041026439143,Directed,15227,,,1
115380398553479,741488235868101,Directed,15228,,,1
115380398553479,225781330794682,Directed,15229,,,1
115380398553479,353171514770582,Directed,15230,,,1
115380398553479,226202677549237,Directed,15231,,,1
115380398553479,324876770939063,Directed,15232,,,1
115380398553479,256525401162063,Directed,15233,,,1
115380398553479,182336158543346,Directed,15234,,,1
115380398553479,415248391835448,Directed,15235,,,1
115380398553479,345101265597420,Directed,15236,,,1
115380398553479,383497945060268,Directed,15237,,,1
115380398553479,321043587985150,Directed,15238,,,1
115380398553479,301257246668687,Directed,15239,,,1
115380398553479,199269353553646,Directed,15240,,,1
115380398553479,282084968481260,Directed,15241,,,1
115380398553479,536980806372778,Directed,15242,,,1
115380398553479,521937927884075,Directed,15243,,,1
115380398553479,182158528567931,Directed,15244,,,1
115380398553479,359587857397191,Directed,15245,,,1
115380398553479,486292534720829,Directed,15246,,,1
115380398553479,128646277206656,Directed,15247,,,1
115380398553479,118955421524131,Directed,15248,,,1
115380398553479,170005889750545,Directed,15249,,,1
115380398553479,166640353388074,Directed,15250,,,1
115380398553479,398521580213373,Directed,15251,,,1
115380398553479,285656031511081,Directed,15252,,,1
115380398553479,493706137324713,Directed,15253,,,1
115380398553479,202336133179675,Directed,15254,,,1
115380398553479,382697461788841,Directed,15255,,,1
115380398553479,128686790796430,Directed,15256,,,1
115380398553479,106510759441262,Directed,15257,,,1
115380398553479,537077169639963,Directed,15258,,,1
115380398553479,351088415009414,Directed,15259,,,1
115380398553479,175775249378,Directed,15260,,,1
115380398553479,175519299161553,Directed,15261,,,1
115380398553479,358800530858319,Directed,15262,,,1
115380398553479,260835530608800,Directed,15263,,,1
115380398553479,130917160320991,Directed,15264,,,1
115380398553479,263272937104255,Directed,15265,,,1
115380398553479,137344219770299,Directed,15266,,,1
115380398553479,412352168802187,Directed,15267,,,1
115380398553479,272059726236918,Directed,15268,,,1
115380398553479,177975318933641,Directed,15269,,,1
115380398553479,148777321876003,Directed,15270,,,1
115380398553479,258449936215,Directed,15271,,,1
115380398553479,481248305225854,Directed,15272,,,1
115380398553479,190000937699646,Directed,15273,,,1
115380398553479,280489308720070,Directed,15274,,,1
115380398553479,145880348933756,Directed,15275,,,1
115380398553479,193777420772358,Directed,15276,,,1
115380398553479,316197095089087,Directed,15277,,,1
115380398553479,371576299625938,Directed,15278,,,1
115380398553479,59672929326,Directed,15279,,,1
115380398553479,111488005563000,Directed,15280,,,1
115380398553479,294797007771,Directed,15281,,,1
115380398553479,611457672218020,Directed,15282,,,1
115380398553479,179804542048818,Directed,15283,,,1
115380398553479,201569539997620,Directed,15284,,,1
115380398553479,358681997496092,Directed,15285,,,1
115380398553479,147970798648675,Directed,15286,,,1
115380398553479,111663252190899,Directed,15287,,,1
115380398553479,195680040476719,Directed,15288,,,1
115380398553479,233810286714301,Directed,15289,,,1
115380398553479,439349256087453,Directed,15290,,,1
115380398553479,249745911749876,Directed,15291,,,1
115380398553479,345309372247592,Directed,15292,,,1
115380398553479,148064195323219,Directed,15293,,,1
