Id,Label,timeset,users_can_post,link,category,talking_about_count,like_count
367380153356898,Amorena Moda Grande,,yes,https://www.facebook.com/Amorena-Moda-Grande-367380153356898/,Local Business,10,3254
245067799016105,Maissize Moda Plus,,yes,https://www.facebook.com/maissize/,Clothing,5,7334
381404171885894,Your Big Sister s Closet,,yes,https://www.facebook.com/yourbigsisterscloset/,Shopping/Retail,2893,14692
584067141713984,Sarah Taylor Miss Plus Canada 2014/2015 & Plus Size Model,,yes,https://www.facebook.com/sarahtaylorsjourney/,Public Figure,93,1223
274621445992551,Conquore · The Fatshion Café,,yes,https://www.facebook.com/Conquore-The-Fatshion-Café-274621445992551/,Personal Blog,147,1782
1458210551095571,Supplement Melhores Marcas,,yes,https://www.facebook.com/Supplement-Melhores-Marcas-1458210551095571/,Health/Medical/Pharmacy,8,1249
209558925886026,Supplement Vila Ema,,yes,https://www.facebook.com/supplementvilaema/,Health/Medical/Pharmacy,17,1787
138782929477660,Supplement,,yes,https://www.facebook.com/Supplementcentro/,Health/Medical/Pharmacy,12,6712
206339142742198,Chiceelegante.com.br,,yes,https://www.facebook.com/chiceelegante/,Company,113,19552
267225436727246,Grande Estilo - Plus Size,,yes,https://www.facebook.com/gestilo2011/,Shopping/Retail,12,5787
253083638059595,Na Clementin,,yes,https://www.facebook.com/naclementin/,Public Figure,105,3654
739809639387263,Exclusiva Plus Size,,no,https://www.facebook.com/exclusivaplussizemanaus/,Shopping/Retail,1907,7954
277884142413416,Gorda Na Praia,,yes,https://www.facebook.com/gordanapraia/,Community,11,2372
681147458563418,French Curves  le challenge,,yes,https://www.facebook.com/frenchcurveschallenge/,Community,244,2983
515552898456515,Dna Natural SJC,,no,https://www.facebook.com/dnanaturalsjc/,Food/Grocery,5,598
300520616800817,Andressa Paiva Psicóloga e Coach,,yes,https://www.facebook.com/Andressa-Paiva-Psicóloga-e-Coach-300520616800817/,Local Business,1,202
150831924981490,Mogi Shopping,,yes,https://www.facebook.com/mogishopping/,Local Business,1467,56869
113287962097702,Erva Café,,yes,https://www.facebook.com/ervacafe/,Clothing,1,2156
396238617060911,Gordas Maravilhosas,,no,https://www.facebook.com/GordasMaravilhosas/,Personal Website,7460,347661
174565392641564,SOU Gordinha SIM,,yes,https://www.facebook.com/sougordinhasimoficial/,Personal Blog,33734,640213
1410081172574117,Wee Fashion Curves,,yes,https://www.facebook.com/WeeOficial/,Clothing,100,118211
443040872436725,Boutique Palomy,,yes,https://www.facebook.com/BoutiquePalomy/,Shopping/Retail,14,1762
254601907996756,SOU PLUS SIM,,yes,https://www.facebook.com/souplussim/,Community,1,3535
257964247721694,DeD Casual,,yes,https://www.facebook.com/dedcasual/,Company,5,383
205871529547556,Indiretas do bem,,no,https://www.facebook.com/indiretasdobem/,Community,697443,7433317
705774632792376,Babu Carreira,,yes,https://www.facebook.com/carreirababu/,Artist,694,2332
333577596740941,Oh!Querida,,yes,https://www.facebook.com/OhQuerida/,Clothing,314,4255
