rt_id,who_was_rt,content_of_rt
1255623800982589446,BolsonaroSP,"Boa notícia. Novo remédio para combater o COVID-19 no horizonte.

O remdesivir pode, segundo o Dr. Fauci, bloquear uma enzima que o vírus utiliza. https://t.co/it6GOwwRsk"
1255612083649097728,folha,Casos de Covid-19 aumentam 173% em Blumenau após reabertura do comércio https://t.co/OlLWxPfcBr
1255543145187737603,delucca,"""É lógico que isolamento social ainda é uma forma de proteção. Quem pode ficar em casa, que fique, mas quem não pode que acredite e confie num presidente sério, honesto e que tem pulso"" 

- deputada federal Major Fabiana (PSL) https://t.co/NMihEX1sXF"
1255536460339515393,carteiroreaca,Alguém sabe o nome dessa planta que a jornalista da Globo cultiva em casa? https://t.co/gkPV1xekES
1255608082681548802,Li_Positive,"E a Cloroquina??
Pararam de encher nossa TL com ela.
Justo agora q estão morrendo TANTAS pessoas.
As pessoas estavam tão convictas. Pareciam ""especialistas"" divulgando.
Cadê as # sobre Bolsonaro ter RAZÃO em relação a ela?
O q houve??? Desistiram dele ter razão??"
1255583884290465793,g1,Bolsonaro diz que governadores e prefeitos devem ser cobrados por mortes e critica isolamento com declaração que vai na contramão de estudos científicos =&gt; https://t.co/FI1L1JOMmj #G1 https://t.co/jye9SOPUNO
1255625008803655681,KarlMarxis,@BolsonaroSP Morreu o Papagado. https://t.co/2loHIQKFXt
1255596601751601158,DrLejarazu,"Algo de luz al final del túnel del tratamiento de #COVID19 :
Remdesivir: puede ser necesario administrarlo más precozmente. Algunos resultados.  https://t.co/t5TRc8eyFm"
1255620432826265601,CNNBrasil,"""Quem decidiu todas as políticas restritivas foram governadores, prefeitos, o Supremo [Tribunal Federal] que decidiu"", disse Bolsonaro. https://t.co/QXcoaz9U5C"
1255623800982589446,BolsonaroSP,"Boa notícia. Novo remédio para combater o COVID-19 no horizonte.

O remdesivir pode, segundo o Dr. Fauci, bloquear uma enzima que o vírus utiliza. https://t.co/it6GOwwRsk"
1255628063284453376,RevistaEpoca,EUA anunciam que antiviral remdesivir é eficaz contra a Covid-19 https://t.co/5SJPgNtXiT https://t.co/SkNhP47YTJ
1255533566253023233,TVMaresol,Porco Ed Motta testa positivo para coronavírus https://t.co/RX34t1B7kB
1254443198618927104,GuilhermeBoulos,"A desigualdade social de São Paulo escancarada pela Covid-19: 

Morumbi - 297 casos / 7 mortes.
Brasilândia - 89 casos / 54 mortes.

Quem tem condições trata, quem não tem morre."
1255628063284453376,RevistaEpoca,EUA anunciam que antiviral remdesivir é eficaz contra a Covid-19 https://t.co/5SJPgNtXiT https://t.co/SkNhP47YTJ
1255623800982589446,BolsonaroSP,"Boa notícia. Novo remédio para combater o COVID-19 no horizonte.

O remdesivir pode, segundo o Dr. Fauci, bloquear uma enzima que o vírus utiliza. https://t.co/it6GOwwRsk"
